index,doc_a,doc_b,label,type,TF-IDF,Section Cosine
124,SP26SE010,SU26SE031,0,Type_C,0.10021551757402886,0.0398793809487887
125,SU26SE015,SP26SE044,0,Type_C,0.07950757179048931,0.02574376297134647
126,SP26SE101,SU26SE083,0,Type_C,0.10894805110851478,0.0379102027570717
127,SU26SE094,SP26SE034,0,Type_C,0.12896564157232043,0.04305076491256918
128,SP26SE143,SP26SE057,0,Type_C,0.09151355954573549,0.4801102260125683
129,SP26SE150,SU26SE107,0,Type_C,0.14159881899938034,0.0350127189697223
130,SP26SE093,SU27SE153,0,Type_C,0.1310902037629326,0.5228017093046443
131,SU26SE070,SP26SE052,0,Type_C,0.10513975296148219,0.04796612080774396
132,SU26SE091,SU26SE032,0,Type_C,0.15042457568477055,0.09393491304316647
133,SP26SE103,SU26SE079,0,Type_C,0.08688904917083003,0.24334196882973763
134,SP26SE102,SP26SE109,0,Type_C,0.10372325371263309,0.5128151580140383
135,SP26SE019,SU26SE091,0,Type_C,0.15862727288414735,0.07493547750048433
136,SP26SE158,SP26SE019,0,Type_C,0.16928833266801177,0.5353717686510963
137,SP26SE133,SP26SE074,0,Type_C,0.07938091157596848,0.5007832098292394
