index,doc_a,doc_b,label,type,SBERT_MiniLM,BGE_Small_v1.5,MPNet_Base_v2
120,SP26SE034,SU26SE079,0,Type_C,0.46071693301200867,0.7260186076164246,0.458858460187912
121,SP26SE056,SU26SE063,0,Type_C,0.49044397473335266,0.6745163202285767,0.44592344760894775
122,SP26SE033,SP26SE078,0,Type_C,0.18088386952877045,0.5925081968307495,0.15918274223804474
123,SU26SE064,SU26SE018,0,Type_C,0.41289037466049194,0.7366377115249634,0.2369312345981598
124,SP26SE010,SU26SE031,0,Type_C,0.4271812438964844,0.7469232082366943,0.49242326617240906
125,SU26SE015,SP26SE044,0,Type_C,0.11262819170951843,0.530749499797821,0.09525562822818756
126,SP26SE101,SU26SE083,0,Type_C,0.14567801356315613,0.5962973833084106,0.2507745325565338
127,SU26SE094,SP26SE034,0,Type_C,0.2660145163536072,0.6134724617004395,0.22040122747421265
128,SP26SE143,SP26SE057,0,Type_C,0.28534382581710815,0.6366987824440002,0.33179351687431335
129,SP26SE150,SU26SE107,0,Type_C,0.22459040582180023,0.6806141138076782,0.41439592838287354
130,SP26SE093,SU27SE153,0,Type_C,0.31664296984672546,0.6714009642601013,0.325588583946228
131,SU26SE070,SP26SE052,0,Type_C,0.3693212568759918,0.6572288870811462,0.43388572335243225
132,SU26SE091,SU26SE032,0,Type_C,0.28234079480171204,0.6441737413406372,0.2582174241542816
133,SP26SE103,SU26SE079,0,Type_C,0.327908992767334,0.6557215452194214,0.26522961258888245
134,SP26SE102,SP26SE109,0,Type_C,0.28458791971206665,0.6325469613075256,0.34267014265060425
135,SP26SE019,SU26SE091,0,Type_C,0.12266115099191666,0.5947265028953552,0.20791098475456238
136,SP26SE158,SP26SE019,0,Type_C,0.4063001573085785,0.6413034200668335,0.3005158305168152
137,SP26SE133,SP26SE074,0,Type_C,0.19436658918857574,0.5977602005004883,0.1054324358701706
