index,doc_a,doc_b,label,type,TF-IDF,Standard TED,pq-Gram,Section Cosine,Genuine Flat Domain SBERT
34,SU26SE001,SU26SE001_plag,1,Type_A,0.5614352380212416,0.4251968503937008,0.018518518518518517,0.4858819010481952,1.0
35,SU26SE072,SU26SE072_plag,1,Type_A,0.3845837467392146,0.4285714285714286,0.015463917525773196,0.7819118589474962,1.0
36,SU26SE042,SU26SE042_plag,1,Type_A,0.6559814131645741,0.40157480314960625,0.026119402985074626,0.4894438504071738,1.0
37,SU26SE095,SU26SE095_plag,1,Type_A,0.6313550082086042,0.39370078740157477,0.014760147601476014,0.4519741225651395,1.0
38,SU26SE168,SP26SE003,0,Type_B,0.12435931944896293,0.5755813953488372,0.0,0.04303614973934994,1.0
39,SU26SE169,SP26SE112,0,Type_B,0.1386429636458111,0.5755813953488372,0.0,0.05235383954572871,1.0
40,SP26SE001,SU26SE004,0,Type_B,0.024004295748158683,0.5730994152046784,0.0,0.01038270335846778,1.0
41,SP26SE150,SP26SE092,0,Type_B,0.10020828344554755,0.5688622754491017,0.0,0.49063204040767583,1.0
42,SP26SE007,SP26SE098,0,Type_B,0.08078919928154239,0.5705882352941176,0.0,0.4909397834810156,1.0
43,SP26SE102,SP26SE055,0,Type_B,0.11976277618395499,0.5755813953488372,0.0,0.5102883114944627,1.0
44,SP26SE132,SP26SE157,0,Type_B,0.14453719356972525,0.5755813953488372,0.0,0.5204728406608294,1.0
45,SP26SE143,SP26SE062,0,Type_B,0.10180572555631953,0.4758620689655172,0.0,0.47670441208088055,1.0
46,SU26SE063,SP26SE019,0,Type_B,0.15746284201016092,0.5730994152046784,0.0,0.059454455519856696,1.0
47,SU26SE088,SP26SE156,0,Type_B,0.08882012742915515,0.5755813953488372,0.0,0.03408652109064616,1.0
48,SP26SE110,SP26SE038,0,Type_B,0.12127151636323236,0.5755813953488372,0.0,0.5191546917521399,1.0
49,SU26SE080,SU26SE046,0,Type_B,0.17432860868686922,0.5069444444444444,0.0,0.046564370130847396,1.0
50,SU26SE033,SP26SE161,0,Type_B,0.11459171562988506,0.5460122699386503,0.0,0.03074474410484911,1.0
51,SU26SE048,SU26SE087,0,Type_B,0.2470342525728151,0.5755813953488372,0.0027100271002710027,0.19327107289579346,1.0
52,SP26SE048,SU26SE087,0,Type_B,0.15456764159867872,0.5290322580645161,0.0029940119760479044,0.06763915848596616,1.0
53,SP26SE047,SP26SE159,0,Type_B,0.06115100088529996,0.5730994152046784,0.0,0.4938939631847561,1.0
54,SU26SE097,SP26SE150,0,Type_B,0.11962139554589886,0.38888888888888884,0.0,0.030148171997550342,1.0
55,SP26SE150,SP26SE042,0,Type_B,0.11784703126994837,0.5730994152046784,0.0,0.49182621379377367,1.0
56,SU26SE102,SP26SE034,0,Type_B,0.08050484236882781,0.5460122699386503,0.0,0.027360126932419383,1.0
57,SP26SE138,SU26SE030,0,Type_B,0.10821871269870635,0.5755813953488372,0.0,0.039855297552441736,1.0
58,SU26SE026,SU26SE063,0,Type_B,0.16272229623387974,0.5460122699386503,0.0,0.09862159205350432,1.0
59,SU26SE059,SP26SE048,0,Type_B,0.07721188554015852,0.5225806451612903,0.0,0.02947465951784277,1.0
60,SP26SE069,SP26SE091,0,Type_B,0.1759432119890975,0.5739644970414202,0.008310249307479225,0.48784857135334875,1.0
61,SP26SE119,SU26SE067,0,Type_B,0.11957479485167949,0.5755813953488372,0.0,0.0604666109669365,1.0
62,SU26SE015,SP26SE024,0,Type_B,0.12514233987365353,0.5730994152046784,0.0027247956403269754,0.021766137004060795,1.0
63,SP26SE019,SU26SE079,0,Type_B,0.1384664936765868,0.4722222222222222,0.0,0.2436047006012431,1.0
64,SU26SE169,SP26SE069,0,Type_B,0.13572045975378955,0.5705882352941176,0.0,0.03285695168100087,1.0
65,SP26SE042,SP26SE159,0,Type_B,0.14042838331264296,0.5755813953488372,0.0,0.5151214218755309,1.0
66,SP26SE102,SU26SE039,0,Type_B,0.08290764191233728,0.5755813953488372,0.0,0.03470639083931463,1.0
67,SP26SE065,SP26SE120,0,Type_B,0.08344472866149721,0.5755813953488372,0.0,0.4901381326439316,1.0
68,SP26SE120,SP26SE123,0,Type_B,0.05151819574827394,0.5755813953488372,0.0,0.482680120064331,1.0
69,SP26SE052,SP26SE078,0,Type_B,0.05786934303792926,0.5730994152046784,0.0,0.4829615122642197,1.0
70,SP26SE087,SP26SE102,0,Type_B,0.08346092014488664,0.5098039215686274,0.0,0.5046893597181392,1.0
71,SP26SE054,SP26SE099,0,Type_B,0.04392559635559171,0.512987012987013,0.0,0.48287711338487843,1.0
72,SP26SE039,SU26SE165,0,Type_B,0.0629679340897792,0.5755813953488372,0.0,0.023485121135323934,1.0
73,SP26SE110,SP26SE103,0,Type_B,0.1581409060073608,0.5755813953488372,0.0,0.5294353836411136,1.0
74,SU26SE168,SU26SE019,0,Type_B,0.13392175166652207,0.5755813953488372,0.0,0.0725582122117696,1.0
75,SU26SE029,SU26SE087,0,Type_B,0.1254117344503483,0.5755813953488372,0.0,0.09739920466375063,1.0
76,SU26SE070,SP26SE069,0,Type_B,0.10664669272891009,0.5670731707317074,0.0,0.01933830030735761,1.0
